Comment,Designator,Footprint,LCSC,Quantity
100nF,C2,C_0805_2012Metric,C28233,1
10118193-0001LF,J1,AMPHENOL_10118193-0001LF,C132562,1
10k,"R1,R2,R3,R4,R5,R6,R7",R_0805_2012Metric,C17414,7
10uF,C4,C_0805_2012Metric,C15850,1
1uF,"C1,C3",C_0805_2012Metric,C28323,2
2N7002,Q1,SOT-23,C8545,1
AO3400A,Q2,SOT-23,C20917,1
AP2112K-3.3,U3,SOT-23-5,C51118,1
Conn_01x06,J3,HDR-TH_6P-P2.54-V-M-1,C37208,1
ESP-12F,U4,ESP-12E,C82891,1
SW_FLASH,SW2,SW-SMD_4P-L6.2-W6.2-P4.00-LS6.8,C115354,1
SW_RST,SW1,SW-SMD_4P-L6.2-W6.2-P4.00-LS6.8,C115354,1
Screw_Terminal_01x03,J2,CONN-TH_3P-P5.08_1729131,C91154,1
