Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,50.45,-127.5,180.0,top
C2,100nF,C_0805_2012Metric,50.45,-122.5,0.0,top
C3,1uF,C_0805_2012Metric,50.45,-125.0,180.0,top
C4,10uF,C_0805_2012Metric,50.55,-120.0,0.0,top
J1,10118193-0001LF,AMPHENOL_10118193-0001LF,55.5,-131.8,0.0,top
J2,Screw_Terminal_01x03,CONN-TH_3P-P5.08_1729131,37.5,-116.92,-90.0,top
J3,Conn_01x06,HDR-TH_6P-P2.54-V-M-1,76.0,-100.27,-90.0,top
Q1,2N7002,SOT-23,63.05,-110.5625,90.0,top
Q2,AO3400A,SOT-23,67.55,-110.6875,-90.0,top
R1,10k,R_0805_2012Metric,45.5875,-100.0,0.0,top
R2,10k,R_0805_2012Metric,43.5,-110.4125,-90.0,top
R3,10k,R_0805_2012Metric,71.0,-110.4125,90.0,top
R4,10k,R_0805_2012Metric,42.9125,-95.0,180.0,top
R5,10k,R_0805_2012Metric,44.9125,-92.0,0.0,top
R6,10k,R_0805_2012Metric,67.0,-100.9125,90.0,top
R7,10k,R_0805_2012Metric,53.5,-106.9125,90.0,top
SW1,SW_RST,SW-SMD_4P-L6.2-W6.2-P4.00-LS6.8,37.5,-94.5,90.0,top
SW2,SW_FLASH,SW-SMD_4P-L6.2-W6.2-P4.00-LS6.8,37.5,-104.0,-90.0,top
U3,AP2112K-3.3,SOT-23-5,55.3,-125.3625,90.0,top
U4,ESP-12F,ESP-12E,56.5,-95.95,0.0,top
